Term,2024 Fall,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Class Enrollment Summary by Term with Prompt,,,,,,,,,,,,,,
Time run: 11/5/2024 9:08:31 AM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Class Number,Course Title,Course Name,View in Course Search,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
14565,ANE 120A,Hebrew Bible/Old Testament 1,View ANE 120A in Course Search ,001,Near Eastern Languages & Civ,"Teeter,Andrew",12,1,0,1,0,0,0,14
14831,ANE 134,How do rituals work?,View ANE 134 in Course Search ,001,Near Eastern Languages & Civ,"Debourse,Celine Hilde Ilse",5,0,0,0,0,0,0,5
16520,ANE 170,Food and Identity,View ANE 170 in Course Search ,001,Near Eastern Languages & Civ,"Rhyder,Julia Victoria",17,1,0,1,0,0,0,19
14832,ANE 234,How do rituals work?,View ANE 234 in Course Search ,001,Near Eastern Languages & Civ,"Debourse,Celine Hilde Ilse",2,0,0,1,0,0,0,3
18893,ANTHRO 1224,Hacker Culture and Politics,View ANTHRO 1224 in Course Search ,001,Anthropology,"Coleman,E. Gabriella",11,2,0,0,0,0,0,13
16745,ANTHRO 1232,Arch of the African Holocene,View ANTHRO 1232 in Course Search ,001,Anthropology,"Monroe,Shayla",1,3,0,0,0,0,0,4
16720,ANTHRO 1250,The Pyramids of Giza,View ANTHRO 1250 in Course Search ,001,Anthropology,"Manuelian,Peter Der",5,5,0,0,0,0,0,10
16739,ANTHRO 1270,"Sick: 10,000 Years of Health",View ANTHRO 1270 in Course Search ,001,Anthropology,"Warinner,Christina Gertrude",19,4,0,0,0,0,0,23
16746,ANTHRO 1602,Intro to Sociocultural Anthro,View ANTHRO 1602 in Course Search ,001,Anthropology,"Harkness,Nicholas H.",34,1,0,1,0,0,0,36
11126,ANTHRO 1610,Ethnographic Research Methods,View ANTHRO 1610 in Course Search ,001,Anthropology,"Fierman,Julia",11,0,0,0,0,0,0,11
14595,ANTHRO 1698,Anthro of Death and Immortalit,View ANTHRO 1698 in Course Search ,001,Anthropology,"Bernstein,Anya",15,0,0,2,0,0,0,17
13627,ANTHRO 1781,What Is Latin America?,View ANTHRO 1781 in Course Search ,001,Anthropology,,0,0,0,0,0,0,0,0
13837,ANTHRO 1836CR,Sensory Ethnography 3,View ANTHRO 1836CR in Course Search ,001,Anthropology,"Castaing-Taylor,Lucien",2,1,0,0,0,0,0,3
13838,ANTHRO 1836DR,Sensory Ethnography 4,View ANTHRO 1836DR in Course Search ,001,Anthropology,"Castaing-Taylor,Lucien",1,0,0,0,0,0,0,1
18971,ANTHRO 1877,Anthro of Chinese Culture/Soc,View ANTHRO 1877 in Course Search ,001,Anthropology,"Tamburo,Elisa",2,1,0,2,0,0,0,5
16749,ANTHRO 1906,Care in Critical Times,View ANTHRO 1906 in Course Search ,001,Anthropology,"Wright,Andrea",14,1,0,2,0,0,0,17
19806,ANTHRO 2030,Quantitative Archaeology,View ANTHRO 2030 in Course Search ,001,Anthropology,"Clark,Amy Elizabeth",0,4,0,0,0,0,0,4
16530,ANTHRO 2036,Lithic Technology,View ANTHRO 2036 in Course Search ,001,Anthropology,"Clark,Amy Elizabeth",0,3,0,1,0,0,0,4
