Class Enrollment Summary by Term with Prompt,,,,,,,,,,,,,,
Time run: 3/26/2025 8:00:16 AM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Class Number,Course Title,Course Name,View in Course Search,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
11980,ANTHRO 3410,Teaching Fellowship,View ANTHRO 3410 in Course Search ,001,Anthropology,,0,13,0,0,0,0,0,13
11943,ANTHRO 3500,Direction of Doctoral,View ANTHRO 3500 in Course Search ,018,Anthropology,"Reddy,Malavika",0,1,0,0,0,0,0,1
12079,ANTHRO 3636,Pedagogy in Anthropology,View ANTHRO 3636 in Course Search ,001,Anthropology,"Liebmann,Matt",0,5,0,0,0,0,0,5
10544,ANTHRO 91ZR,Supervised Reading & Research,View ANTHRO 91ZR in Course Search ,001,Anthropology,"Khaira,Damina",1,0,0,0,0,0,0,1
10373,ANTHRO 97X,Soph Tutorial in Archaeology,View ANTHRO 97X in Course Search ,001,Anthropology,"Carballo,Jennifer",2,0,0,0,0,0,0,2
10412,ANTHRO 97Z,Sophomore Tutorial Social Anth,View ANTHRO 97Z in Course Search ,001,Anthropology,"Reddy,Malavika",11,0,0,0,0,0,0,11
11695,ANTHRO 98B,Junior Tutorial for Thesis,View ANTHRO 98B in Course Search ,001,Anthropology,"Khaira,Damina",13,0,0,0,0,0,0,13
11897,ANTHRO 99B,Thesis Tutorial in Anthropolog,View ANTHRO 99B in Course Search ,001,Anthropology,"Khaira,Damina",6,0,0,0,0,0,0,6
12255,APCOMP 209B,Data Science 2,View APCOMP 209B in Course Search ,001,Applied Computation,"Protopapas,Pavlos",11,92,1,12,0,0,0,116
12256,APCOMP 221,Critical Thinking Data Science,View APCOMP 221 in Course Search ,001,Applied Computation,"Smith,Michael D.",12,65,1,7,0,0,0,85
13719,APCOMP 297R,CSE Capstone Project,View APCOMP 297R in Course Search ,001,Applied Computation,"Pan,Weiwei",6,29,0,0,0,0,0,35
12253,APCOMP 299R,Special Topics Applied Comp,View APCOMP 299R in Course Search ,001,Applied Computation,"Weinstock,Daniel S",2,22,0,0,0,0,0,24
12254,APCOMP 302,Special Topics in CSE,View APCOMP 302 in Course Search ,001,Applied Computation,"Weinstock,Daniel S",0,17,0,0,0,0,0,17
12257,APCOMP 399-TIME,Academic Related Work SEAS,View APCOMP 399-TIME in Course Search ,001,Applied Computation,"Weinstock,Daniel S",0,21,0,0,0,0,0,21
12523,APMTH 105,Ordinary & Partial Diff Equati,View APMTH 105 in Course Search ,001,Applied Mathematics,"Levine,Margo",97,0,0,1,1,0,0,99
15933,APMTH 106,Applied Algebra,View APMTH 106 in Course Search ,001,Applied Mathematics,"Seigal,Anna",10,0,0,0,0,0,0,10
12263,APMTH 107,Graph Theory and Combinatorics,View APMTH 107 in Course Search ,001,Applied Mathematics,"Valiant,Leslie G.",31,1,0,1,2,0,0,35
12785,APMTH 108,Nonlinear Dynamical Systems,View APMTH 108 in Course Search ,001,Applied Mathematics,"Iams,Sarah M",18,2,0,0,0,0,0,20
13917,APMTH 109,Introduction to PDEs,View APMTH 109 in Course Search ,001,Applied Mathematics,"Trefethen,Nick",3,2,0,1,0,0,0,6
12266,APMTH 115,Mathematical Modeling,View APMTH 115 in Course Search ,001,Applied Mathematics,"Kuang,Zhiming",40,2,0,0,0,0,0,42
12265,APMTH 120,Applicable Linear Algebra,View APMTH 120 in Course Search ,001,Applied Mathematics,"Tziperman,Eli",133,3,0,2,0,0,0,138
17730,APMTH 201,Physical Mathematics I,View APMTH 201 in Course Search ,001,Applied Mathematics,"Brenner,Michael P.",26,28,1,0,0,0,0,55
13396,APMTH 220,Geometric Method Machine Learn,View APMTH 220 in Course Search ,001,Applied Mathematics,"Weber,Melanie",19,29,0,0,0,0,0,48
13185,APMTH 230,Active Matter,View APMTH 230 in Course Search ,001,Applied Mathematics,"Mahadevan,L",3,4,0,2,0,0,0,9
12259,APMTH 299R,Special Topics in Applied Math,View APMTH 299R in Course Search ,001,Applied Mathematics,"Lu,Yue",1,7,0,0,0,0,0,8
12258,APMTH 318,Special Topics in Physical Mat,View APMTH 318 in Course Search ,001,Applied Mathematics,"Brenner,Michael P.",0,2,0,0,0,0,0,2
12260,APMTH 320,Topics in Macroscopic Physics,View APMTH 320 in Course Search ,001,Applied Mathematics,"Mahadevan,L",0,1,0,0,0,0,0,1
12267,APMTH 326,Theoretical Neuroscience,View APMTH 326 in Course Search ,001,Applied Mathematics,"Pehlevan,Cengiz",0,9,0,0,0,0,0,9
18497,APMTH 327,Numerical Algorithms,View APMTH 327 in Course Search ,001,Applied Mathematics,"Trefethen,Nick",0,2,0,2,0,0,0,4
12957,APMTH 328,Advanced Computational Science,View APMTH 328 in Course Search ,001,Applied Mathematics,"Koumoutsakos,Petros",0,1,0,0,0,0,0,1
13262,APMTH 336,Geometry and Machine Learning,View APMTH 336 in Course Search ,001,Applied Mathematics,"Weber,Melanie",0,1,0,0,0,0,0,1
14170,APMTH 338,Applied Algebra,View APMTH 338 in Course Search ,001,Applied Mathematics,"Seigal,Anna",0,2,0,0,0,0,0,2
12261,APMTH 50,Intro to Applied Mathematics,View APMTH 50 in Course Search ,001,Applied Mathematics,"Pehlevan,Cengiz",67,0,0,0,1,0,0,68
12262,APMTH 91R,Supervised Reading and Researc,View APMTH 91R in Course Search ,001,Applied Mathematics,"Levine,Margo",15,0,0,0,0,0,0,15
15936,APPHY 195B,Intro to Quantum Materials,View APPHY 195B in Course Search ,001,Applied Physics,"Westervelt,Robert M.",1,2,0,0,0,0,0,3
15937,APPHY 216,Electromag Interact with Matte,View APPHY 216 in Course Search ,001,Applied Physics,"Ham,Donhee",6,37,0,0,0,0,0,43
14923,APPHY 276,Platforms for Quantum Science,View APPHY 276 in Course Search ,001,Applied Physics,"Semeghini,Giulia",4,5,0,0,0,0,0,9
22181,APPHY 290A,Research and Academic Culture,View APPHY 290A in Course Search ,001,Applied Physics,"Manoharan,Vinothan N",0,8,0,0,0,0,0,8
12273,APPHY 291,Electron Microscopy Laboratory,View APPHY 291 in Course Search ,001,Applied Physics,"Bell,David C.",1,8,0,2,1,0,0,12
15938,APPHY 292,Kinetics of Condnsd Phase Proc,View APPHY 292 in Course Search ,001,Applied Physics,"Spaepen,Frans A.",0,3,0,0,0,0,0,3
12292,APPHY 295B,Quantum Theory of Solids,View APPHY 295B in Course Search ,001,Applied Physics,"Sachdev,Subir",0,1,0,1,0,0,0,2
16005,APPHY 296,Mesoscale & Low Dim Devices,View APPHY 296 in Course Search ,001,Applied Physics,"Ham,Donhee",4,14,0,1,0,0,0,19
12900,APPHY 299QR,Special Topics Applied Physics,View APPHY 299QR in Course Search ,001,Applied Physics,"Capasso,Federico",0,1,0,0,0,0,0,1
26406,APPHY 299QR,Special Topics Applied Physics,View APPHY 299QR in Course Search ,002,Applied Physics,"Capasso,Federico",0,1,0,0,0,0,0,1
12268,APPHY 299R,Special Topics Applied Physics,View APPHY 299R in Course Search ,001,Applied Physics,"Capasso,Federico",1,11,0,0,0,0,0,12
12288,APPHY 302,Applied Condensed Matter Phys,View APPHY 302 in Course Search ,001,Applied Physics,"Ham,Donhee",0,1,0,0,0,0,0,1
12287,APPHY 304,Materials Science of Biologica,View APPHY 304 in Course Search ,001,Applied Physics,"Aizenberg,Joanna",0,6,0,0,0,0,0,6
12249,APPHY 320,Electron Microscopy,View APPHY 320 in Course Search ,001,Applied Physics,"Prigozhin,Maxim",0,2,0,0,0,0,0,2
12286,APPHY 322,Materials Physics and,View APPHY 322 in Course Search ,001,Applied Physics,"Clarke,David",0,1,0,0,0,0,0,1
12276,APPHY 326,Optics with Cold Atoms,View APPHY 326 in Course Search ,001,Applied Physics,"Hau,Lene V.",0,2,0,0,0,0,0,2
12285,APPHY 330,Hetero Nano Devices & Bio-temp,View APPHY 330 in Course Search ,001,Applied Physics,"Hu,Evelyn",0,4,0,0,0,0,0,4
12270,APPHY 332,Exp Condensed Matter Physics,View APPHY 332 in Course Search ,001,Applied Physics,"Westervelt,Robert M.",0,1,0,0,0,0,0,1
12282,APPHY 342,"Nano-Lasers, Single-Photon Sou",View APPHY 342 in Course Search ,001,Applied Physics,"Loncar,Marko",0,13,0,0,0,0,0,13
12271,APPHY 350,Exp Physics in Low Dimen Mater,View APPHY 350 in Course Search ,001,Applied Physics,"Kim,Philip",0,6,0,0,0,0,0,6
12274,APPHY 356,Special Topics Theoretical Eng,View APPHY 356 in Course Search ,001,Applied Physics,"Brenner,Michael P.",0,2,0,0,0,0,0,2
12269,APPHY 360,Nonlinear Laser Phys & Mater E,View APPHY 360 in Course Search ,001,Applied Physics,"Mazur,Eric",0,3,0,0,0,0,0,3
12277,APPHY 362,"Photonics, Quantm Devices & Na",View APPHY 362 in Course Search ,001,Applied Physics,"Capasso,Federico",0,10,0,0,0,0,0,10
12272,APPHY 364,Exp Soft Condensed Matter,View APPHY 364 in Course Search ,001,Applied Physics,"Weitz,David A.",0,14,0,0,0,0,0,14
12278,APPHY 368,Condensed Matter Physics,View APPHY 368 in Course Search ,001,Applied Physics,"Nelson,David R.",0,1,0,0,0,0,0,1
12283,APPHY 372,Biological Physics and Quant B,View APPHY 372 in Course Search ,001,Applied Physics,"Needleman,Daniel",0,5,0,0,0,0,0,5
12290,APPHY 374,Signaling Processing and Syste,View APPHY 374 in Course Search ,001,Applied Physics,"Ramanathan,Sharad",0,5,0,0,0,0,0,5
14238,APPHY 380,Electrochemical Eng Sustainabl,View APPHY 380 in Course Search ,001,Applied Physics,"Schiffer,Zachary",0,5,0,0,0,0,0,5
12284,APPHY 392,Exp Soft Cond Matter & Materia,View APPHY 392 in Course Search ,001,Applied Physics,"Manoharan,Vinothan N",0,4,0,0,0,0,0,4
12279,APPHY 396,Topics in Materials Science,View APPHY 396 in Course Search ,001,Applied Physics,"Aziz,Michael J.",0,8,0,0,0,0,0,8
12280,APPHY 398,Materials Science,View APPHY 398 in Course Search ,001,Applied Physics,"Spaepen,Frans A.",0,1,0,0,0,0,0,1
12291,APPHY 50B,Phys Fndtn for Sci & Engr II,View APPHY 50B in Course Search ,001,Applied Physics,"Miller,Kelly Anne",110,1,0,0,0,0,0,111
10628,ARABIC 131B,Upper-Level Modern Arabic II,View ARABIC 131B in Course Search ,001,Near Eastern Languages & Civ,"Khalaf Ahmed,Aya Mohammed",9,2,0,0,0,0,0,11
10895,ARABIC 131B,Upper-Level Modern Arabic II,View ARABIC 131B in Course Search ,002,Near Eastern Languages & Civ,"Habib,Muhammad Ahmad",3,2,0,0,0,0,0,5
