Class Enrollment Summary by Term with Prompt,,,,,,,,,,,,,,
Time run: 4/17/2025 8:00:19 AM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Class Number,Course Title,Course Name,View in Course Search,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
16103,ASTRON 300,Topics in Modern Astrophysics,View ASTRON 300 in Course Search ,029,Astronomy,"Samra,Jenna Elizabeth",0,1,0,0,0,0,0,1
20035,ASTRON 300,Topics in Modern Astrophysics,View ASTRON 300 in Course Search ,030,Astronomy,"Zucker,Catherine",0,1,0,0,0,0,0,1
12513,ASTRON 301,Teaching,View ASTRON 301 in Course Search ,001,Astronomy,,0,7,0,0,0,0,0,7
19067,ASTRON 311,Astrophysics Writing Intensive,View ASTRON 311 in Course Search ,001,Astronomy,"Kewley,Lisa J.",0,2,0,0,0,0,0,2
10743,ASTRON 98,Research Tutorial in Astrophys,View ASTRON 98 in Course Search ,001,Astronomy,"Goodman,Alyssa A.",4,0,0,0,0,0,0,4
11391,ASTRON 99A,Senior Thesis in Astrophysics,View ASTRON 99A in Course Search ,001,Astronomy,"Hernquist,Lars Eric",5,0,0,0,0,0,0,5
10475,BBS 309,Buenrostro lab,View BBS 309 in Course Search ,001,Medical Sciences,"Buenrostro,Jason Daniel",0,9,0,0,0,0,0,9
14780,BBS 330QC,Critical Thinking & Research,View BBS 330QC in Course Search ,0001,Medical Sciences,"Lehoczky,Jessica",0,64,0,0,0,0,0,64
10484,BBS 332R,Vijay Sankaran lab,View BBS 332R in Course Search ,001,Medical Sciences,"Sankaran,Vijay Ganesh",0,1,0,0,0,0,0,1
10732,BBS 333R,Research in Biol & Biomed Scie,View BBS 333R in Course Search ,001,Medical Sciences,"Van Vactor,David",0,2,0,0,0,0,0,2
10463,BBS 334DR,Graduate Research-Jackson Lab,View BBS 334DR in Course Search ,001,Medical Sciences,"Jackson,Ruaidhri",0,2,0,0,0,0,0,2
